Zadania,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22.1,22.2,22.3,22.4,22.5,22.6,p�e�,dyslleksja,Lokalizacja
Obszar,I,II,I,II,II,II,III,II,II,II,II,II,II,IV,IV,I,I,I,I,I,III,III,III,III,III,III,III,,,
Umiej�tno��,1.2,2.5,1.2,4.2,3.1,2.4,2.4,3.2,2.2,3.1,2.2,3.1,3.1,2.1,2.5,1.2,1.2,3.5,3.6,2.3/3.2,1.2/1.5,tresc,segmentacja,styl,jzyk,ortografia,interpunkcja,,,
Punkty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,1,1,,,
A01,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,2,4,1,1,1,1,0,K,T,mi
A02,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,4,0,1,0,1,0,M,N,mi
A03,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,2,4,1,1,2,1,1,K,T,mi
A04,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,2,4,0,1,1,1,0,M,N,mi
A05,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,0,1,0,0,0,M,N,mi
A06,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
A07,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,3,1,1,0,0,0,M,N,mi
A08,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,1,1,2,1,0,K,N,mi
A09,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,4,0,1,0,0,0,K,N,mi
A10,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,4,0,1,2,1,0,M,N,wi
A11,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,4,0,1,0,1,0,K,T,mi
A12,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,2,4,1,1,2,1,0,K,T,mi
A13,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,4,1,1,2,1,0,K,T,mi
A14,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,2,0,1,0,1,0,K,N,mi
A15,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,2,4,1,1,2,1,1,K,N,mi
A16,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,4,0,1,0,0,0,M,N,wi
A17,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,4,0,1,2,1,0,K,T,mi
A18,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,4,0,1,1,0,0,M,N,mi
A19,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,4,1,1,1,1,0,K,N,mi
A20,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,4,0,1,0,1,0,M,N,mi
A21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,4,1,1,2,1,0,K,N,wi
A22,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,2,4,1,1,2,0,0,K,N,mi
A23,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,4,1,1,0,1,0,M,N,mi
A24,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,M,N,mi
A25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,2,4,1,1,2,0,1,M,N,mi
A26,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,2,2,1,1,0,1,0,M,T,mi
A27,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,2,4,1,1,2,1,1,K,N,mi
B02,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,2,4,1,1,0,1,0,K,N,mi
B03,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,4,0,1,2,1,1,K,N,wi
B04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
B05,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,3,1,1,2,1,0,M,N,wi
B06,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,3,0,1,0,0,0,K,N,mi
B07,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,0,1,K,N,mi
B08,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,4,1,1,2,1,0,K,N,mi
B09,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,2,0,1,0,1,0,M,T,mi
B10,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1,0,1,0,M,T,mi
B11,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,M,N,mi
B12,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,2,4,1,1,2,1,0,K,N,mi
B13,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,3,0,1,1,1,0,M,N,wi
B14,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,4,0,1,2,1,0,K,N,mi
B15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,0,1,0,1,0,K,T,mi
B16,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,1,0,1,0,M,N,mi
B17,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,3,1,1,0,1,0,M,T,mi
B18,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,3,0,1,0,1,0,M,N,mi
B19,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,4,0,1,0,1,1,M,N,wi
B20,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,0,M,N,mi
C01,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,3,1,1,0,1,0,M,T,mi
C02,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,2,1,1,1,1,0,K,N,mi
C03,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,4,1,1,0,0,0,M,N,wi
C04,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,4,0,1,0,1,0,K,N,wi
C05,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,3,1,1,0,1,1,K,T,mi
